=== Training Session Started ===
Device: cuda
Network Architecture: [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 8]
Number of Inputs: 8
Learning Rate: 0.1 (initial)
Training samples: 52
Patience: 200
Step 0269 | Loss = 27.831720 | LR = 0.050000 | Correct: 40/52 | New best loss! (patience reset)
Step 0270 | Loss = 28.757504 | LR = 0.050000 | Correct: 40/52 | Patience: 1/200
Step 0271 | Loss = 27.028675 | LR = 0.050000 | Correct: 39/52 | New best loss! (patience reset)
Step 0275 | Loss = 26.757242 | LR = 0.050000 | Correct: 40/52 | New best loss! (patience reset)
Step 0277 | Loss = 25.471455 | LR = 0.050000 | Correct: 40/52 | New best loss! (patience reset)
Step 0280 | Loss = 25.359064 | LR = 0.050000 | Correct: 40/52 | New best loss! (patience reset)
Step 0281 | Loss = 25.045143 | LR = 0.050000 | Correct: 40/52 | New best loss! (patience reset)
Step 0283 | Loss = 23.722298 | LR = 0.050000 | Correct: 39/52 | New best loss! (patience reset)
Step 0288 | Loss = 23.592142 | LR = 0.050000 | Correct: 40/52 | New best loss! (patience reset)
Step 0290 | Loss = 26.921219 | LR = 0.050000 | Correct: 40/52 | Patience: 2/200
Step 0291 | Loss = 23.459692 | LR = 0.050000 | Correct: 40/52 | New best loss! (patience reset)
Step 0293 | Loss = 23.296234 | LR = 0.050000 | Correct: 37/52 | New best loss! (patience reset)
Step 0295 | Loss = 22.713293 | LR = 0.050000 | Correct: 40/52 | New best loss! (patience reset)
Step 0300 | Loss = 22.476807 | LR = 0.050000 | Correct: 41/52 | New best loss! (patience reset)
Step 0301 | Loss = 21.785841 | LR = 0.050000 | Correct: 41/52 | New best loss! (patience reset)
Step 0306 | Loss = 21.777916 | LR = 0.050000 | Correct: 41/52 | New best loss! (patience reset)
Step 0307 | Loss = 21.588631 | LR = 0.050000 | Correct: 39/52 | New best loss! (patience reset)
Step 0309 | Loss = 21.419977 | LR = 0.050000 | Correct: 41/52 | New best loss! (patience reset)
Step 0310 | Loss = 21.228119 | LR = 0.050000 | Correct: 41/52 | New best loss! (patience reset)
Step 0314 | Loss = 20.720097 | LR = 0.050000 | Correct: 41/52 | New best loss! (patience reset)
Step 0315 | Loss = 20.397751 | LR = 0.050000 | Correct: 40/52 | New best loss! (patience reset)
Step 0320 | Loss = 20.227076 | LR = 0.050000 | Correct: 43/52 | New best loss! (patience reset)
Step 0326 | Loss = 20.036289 | LR = 0.050000 | Correct: 43/52 | New best loss! (patience reset)
Step 0328 | Loss = 19.801987 | LR = 0.050000 | Correct: 43/52 | New best loss! (patience reset)
Step 0329 | Loss = 19.800180 | LR = 0.050000 | Correct: 43/52 | New best loss! (patience reset)
Step 0330 | Loss = 19.647472 | LR = 0.050000 | Correct: 43/52 | New best loss! (patience reset)
